ec_number,protein_number,organism,uniprot_accession,temperature_optimum_c,temperature_optimum_raw
1.1.1.1,103,Picrophilus oshimae,Q6L0S1,83.0,83
1.1.1.1,109,Saccharolobus solfataricus,P39462,80.0,80
1.1.1.1,136,Haloferax volcanii,D4GSN2,80.0,80
1.1.1.1,163,Pyrobaculum calidifontis,A3MVR8,80.0,80
1.1.1.1,115,Thermoplasma acidophilum,Q9HIM3,75.0,75
1.1.1.1,126,Sulfolobus acidocaldarius,Q4J702,75.0,75
1.1.1.1,178,Saccharomyces cerevisiae,P28625,27.5,25-30
1.1.1.1,101,Candida parapsilosis,B2KJ46,35.0,35
1.1.1.1,120,Saccharomyces cerevisiae,P00330,30.0,30
1.1.1.1,170,Komagataeibacter medellinensis,G2I689,30.0,30
1.1.1.1,171,Aminobacter aminovorans,A0A380WRS7,30.0,30
1.1.1.1,174,Acetobacter senegalensis,A0A0U5FNC1,30.0,30
1.1.1.1,175,Komagataeibacter xylinus,A0A3T0KHC6,30.0,30
1.1.1.1,120,Saccharomyces cerevisiae,P00330,20.0,20
1.1.1.1,127,Sulfolobus acidocaldarius,Q4J9F2,78.0,78
1.1.1.1,135,Aeropyrum pernix,Q9Y9P9,95.0,95
1.1.1.1,146,Pyrococcus furiosus,Q8TZM9,100.0,100
1.1.1.1,96,Flavobacterium frigidimaris,Q8L3C9,70.0,70
1.1.1.1,121,Equus caballus,P00327,70.0,70
1.1.1.1,132,Pyrococcus furiosus,Q8U259,70.0,70
1.1.1.1,152,Thermococcus kodakarensis,Q5JI09,90.0,90
1.1.1.1,140,Kluyveromyces marxianus,V9SDP6,45.0,45
1.1.1.1,142,Kluyveromyces marxianus,V9SFA1,45.0,45
1.1.1.1,130,Ogataea angusta,H9ZGN0,22.0,22
1.1.1.1,141,Kluyveromyces marxianus,V9SCJ1,55.0,55
1.1.1.1,153,Yokenella sp.,W6CX26,55.0,55
1.1.1.1,167,Pyrococcus furiosus,E7FHL9,37.0,37
1.1.1.1,118,Geobacillus thermodenitrificans,A4IP64,60.0,60
1.1.1.1,159,Thermoanaerobacter ethanolicus,C7IV28,60.0,60
1.1.1.1,121,Equus caballus,P00327,25.0,25
1.1.1.1,125,Sulfurisphaera tokodaii,F9VMI9,85.0,85
1.1.1.1,126,Sulfolobus acidocaldarius,Q4J702,65.0,65
1.1.1.1,127,Sulfolobus acidocaldarius,Q4J9F2,65.0,65
1.1.1.1,153,Yokenella sp.,W6CX26,65.0,65
1.1.1.1,125,Sulfurisphaera tokodaii,F9VMI9,50.0,50
1.1.1.1,139,Kluyveromyces marxianus,G3FFC9,50.0,50
1.1.1.10,19,Ambrosiozyma monospora,Q70FD1,30.0,30
1.1.1.10,28,Neurospora crassa,Q7SD67,30.0,30
1.1.1.10,18,Homo sapiens,Q7Z4W1,25.0,25
1.1.1.10,20,Mus musculus,Q91X52,25.0,25
1.1.1.10,21,Rattus norvegicus,Q920P0,25.0,25
1.1.1.10,22,Cavia porcellus,Q920N9,25.0,25
1.1.1.10,23,Mesocricetus auratus,Q91XV4,25.0,25
1.1.1.10,26,Rhizomucor pusillus,A0A0M4UR95,25.0,25
1.1.1.100,47,Pseudomonas putida,A5HIF6,30.0,30
1.1.1.100,43,Plasmodium falciparum,Q86RB1,25.0,25
1.1.1.100,48,Synechococcus elongatus PCC 7942 = FACHB-805,Q31QF3,44.0,44
1.1.1.100,42,Pseudomonas sp.,Q4AE87,22.0,22
1.1.1.103,22,Pyrococcus horikoshii,O58389,65.0,65
1.1.1.103,21,Cytophaga sp.,Q8KZM4,45.0,45
1.1.1.103,26,Cupriavidus necator,E5RQ20,75.0,75
1.1.1.103,28,Escherichia coli,P07913,39.0,39
1.1.1.107,6,Microbacterium luteolum,Q76KC2,30.0,30
